elapsed,success,bytes,URL
244,true,50,null
151,true,41,null
152,true,47,null
999,true,26244,http://ec2.insiderpages.com/
113,true,37,null
126,true,29,null
567,true,26244,http://ec2.insiderpages.com/
327,true,26244,http://ec2.insiderpages.com/
689,true,26244,http://ec2.insiderpages.com/
963,true,26244,http://ec2.insiderpages.com/
153,true,35,null
126,true,32,null
126,true,48,null
139,true,49,null
126,true,35,null
165,true,44,null
127,true,29,null
155,true,42,null
154,true,47,null
150,true,36,null
806,true,26244,http://ec2.insiderpages.com/
794,true,26244,http://ec2.insiderpages.com/
5711,true,26244,http://ec2.insiderpages.com/
2601,true,26244,http://ec2.insiderpages.com/
5818,true,26245,http://ec2.insiderpages.com/
3227,true,26245,http://ec2.insiderpages.com/
366,true,26244,http://ec2.insiderpages.com/
1169,true,23958,http://ec2.insiderpages.com/b/3709456281/cullman-dodge-chrysler-cullman
780,true,22429,http://ec2.insiderpages.com/b/3709845247/cochise-sewing--alteration-bisbee
1460,true,23181,http://ec2.insiderpages.com/b/3709659520/heavners-garage-little-rock
2292,true,28558,http://ec2.insiderpages.com/b/3710292212/bobs-auto-body-cathedral-city
1769,true,67415,http://ec2.insiderpages.com/b/3709778408/loca-luna-little-rock
3493,true,32372,http://ec2.insiderpages.com/b/3709634193/jim-n-nicks-11th-avenue-grill-birmingham
3447,true,22675,http://ec2.insiderpages.com/b/3710192132/gintel-paint--stain-inc-truckee
175,true,49,null
277,true,46,null
174,true,37,null
164,true,39,null
137,true,36,null
125,true,42,null
382,true,26244,http://ec2.insiderpages.com/
114,true,31,null
703,true,26244,http://ec2.insiderpages.com/
898,true,26244,http://ec2.insiderpages.com/
1190,true,26245,http://ec2.insiderpages.com/
1657,true,26245,http://ec2.insiderpages.com/
2187,true,26245,http://ec2.insiderpages.com/
908,true,23171,http://ec2.insiderpages.com/b/3710155445/cresse-eagle-rock-mortuary-glendale
677,true,26244,http://ec2.insiderpages.com/
731,true,25931,http://ec2.insiderpages.com/b/3709971151/rose-formal-wear-incorporated-tempe
741,true,25674,http://ec2.insiderpages.com/b/3709872729/le-arizona-nails-phoenix
659,true,23037,http://ec2.insiderpages.com/b/3709401944/barnes-distribution-juneau
700,true,20982,http://ec2.insiderpages.com/b/3709447572/landmark-services-warrior
973,true,23132,http://ec2.insiderpages.com/b/3709615036/university-daycare-llc-auburn
708,true,23041,http://ec2.insiderpages.com/b/3709555680/man-chu-wok-birmingham
184,true,52,null
204,true,49,null
125,true,49,null
137,true,48,null
150,true,48,null
126,true,27,null
325,true,26244,http://ec2.insiderpages.com/
163,true,53,null
570,true,26244,http://ec2.insiderpages.com/
1016,true,26244,http://ec2.insiderpages.com/
988,true,26244,http://ec2.insiderpages.com/
400,true,23413,http://ec2.insiderpages.com/b/3710347410/low-john--low-real-estate-group-newport-beach
811,true,26244,http://ec2.insiderpages.com/
393,true,26244,http://ec2.insiderpages.com/
967,true,26244,http://ec2.insiderpages.com/
824,true,22020,http://ec2.insiderpages.com/b/3709547201/clark-brothers-quality-meats-roanoke
176,true,34,null
747,true,21310,http://ec2.insiderpages.com/b/3709503498/lucie-wadsworth-interior-dsgn-montgomery
1714,true,23770,http://ec2.insiderpages.com/b/3709811558/comfort-inn-near-grand-canyon-williams
753,true,22449,http://ec2.insiderpages.com/b/3709601089/abstract--appraisal-svc-inc-russellville
138,true,41,null
804,true,23165,http://ec2.insiderpages.com/b/3710472203/francis-richard--francis--assoc-oxnard
651,true,23075,http://ec2.insiderpages.com/b/3709597160/zaxbys-jasper-1
157,true,46,null
126,true,39,null
518,true,26244,http://ec2.insiderpages.com/
138,true,40,null
339,true,26244,http://ec2.insiderpages.com/
138,true,28,null
125,true,34,null
391,true,26244,http://ec2.insiderpages.com/
752,true,26244,http://ec2.insiderpages.com/
448,true,26244,http://ec2.insiderpages.com/
1014,true,23321,http://ec2.insiderpages.com/b/3709621266/latta-music-co-dothan
786,true,23211,http://ec2.insiderpages.com/b/3709792353/sunrise-taekwondo-usa-tucson
480,true,26244,http://ec2.insiderpages.com/
736,true,26244,http://ec2.insiderpages.com/
126,true,38,null
670,true,23075,http://ec2.insiderpages.com/b/3709885062/pulsipher-family-dentistry-phoenix
208,true,36,null
154,true,36,null
163,true,45,null
893,true,21043,http://ec2.insiderpages.com/b/3709642582/fowler-plumbing-inc-mobile
865,true,23338,http://ec2.insiderpages.com/b/3709873742/golden-sands-resorts-apache-junction
126,true,37,null
917,true,22977,http://ec2.insiderpages.com/b/3710222541/footaction-usa-hanford
156,true,36,null
477,true,26244,http://ec2.insiderpages.com/
161,true,44,null
1366,true,28007,http://ec2.insiderpages.com/b/2532640259/pep-boys-chino-1
330,true,26244,http://ec2.insiderpages.com/
625,true,26244,http://ec2.insiderpages.com/
136,true,50,null
356,true,26244,http://ec2.insiderpages.com/
161,true,37,null
188,true,49,null
250,true,29,null
1138,true,26245,http://ec2.insiderpages.com/
138,true,42,null
1242,true,26245,http://ec2.insiderpages.com/
849,true,20991,http://ec2.insiderpages.com/b/3709884571/pepper-viner-homes-vail
551,true,26244,http://ec2.insiderpages.com/
388,true,26244,http://ec2.insiderpages.com/
717,true,26244,http://ec2.insiderpages.com/
772,true,23736,http://ec2.insiderpages.com/b/3709632210/goggans-thomas-m-montgomery
920,true,25794,http://ec2.insiderpages.com/b/3709894662/kim-courtneys-swim-school-scottsdale
1057,true,26244,http://ec2.insiderpages.com/
114,true,36,null
1047,true,22886,http://ec2.insiderpages.com/b/3710094256/dreams-oil-co-inc-pomona
1498,true,26245,http://ec2.insiderpages.com/
1626,true,26245,http://ec2.insiderpages.com/
1005,true,23459,http://ec2.insiderpages.com/b/3710141877/serbian-orthodox-church-st-jhn-san-francisco
673,true,21375,http://ec2.insiderpages.com/b/3709918594/custom-architectural-woodwork-phoenix
1216,true,23123,http://ec2.insiderpages.com/b/3710349534/titos-proozone-bellflower
277,true,46,null
346,true,42,null
1176,true,23150,http://ec2.insiderpages.com/b/3710368649/welty-capital-management-lafayette
125,true,32,null
753,true,31413,http://ec2.insiderpages.com/b/3710280849/aero--co-los-angeles
320,true,41,null
508,true,26244,http://ec2.insiderpages.com/
722,true,23701,http://ec2.insiderpages.com/b/3710293573/handbag--luggage-santa-barbara
277,true,40,null
314,true,48,null
605,true,26244,http://ec2.insiderpages.com/
126,true,27,null
125,true,34,null
1045,true,21301,http://ec2.insiderpages.com/b/3710149897/brads-quality-roofing-fresno
928,true,26244,http://ec2.insiderpages.com/
802,true,26244,http://ec2.insiderpages.com/
176,true,41,null
196,true,37,null
819,true,22205,http://ec2.insiderpages.com/b/3709675995/woodco-furniture-van-buren
1330,true,26245,http://ec2.insiderpages.com/
364,true,26244,http://ec2.insiderpages.com/
127,true,45,null
138,true,49,null
846,true,26244,http://ec2.insiderpages.com/
851,true,23769,http://ec2.insiderpages.com/b/3710407277/steven-stanley-law-offices-bakersfield
1011,true,26244,http://ec2.insiderpages.com/
1538,true,26245,http://ec2.insiderpages.com/
750,true,21640,http://ec2.insiderpages.com/b/3710059209/desert-discount-tires-hesperia
657,true,21933,http://ec2.insiderpages.com/b/3709825324/desert-dogue-ajo
1854,true,26245,http://ec2.insiderpages.com/
1279,true,23193,http://ec2.insiderpages.com/b/3710062485/lusk-metals--plastics-hayward
630,true,21566,http://ec2.insiderpages.com/b/3710371830/us-electrical-motors-chino
984,true,26244,http://ec2.insiderpages.com/
368,true,46,null
1102,true,26245,http://ec2.insiderpages.com/
966,true,23149,http://ec2.insiderpages.com/b/3710372468/katarina--margaritas-taxes-fresno
1563,true,26245,http://ec2.insiderpages.com/
130,true,29,null
